date,Hobbies_CA_1,Household_1_CA_1,Household_2_CA_1,Foods_1_CA_1,Foods_2_CA_1,Foods_3_CA_1,Hobbies_CA_2,Household_1_CA_2,Household_2_CA_2,Foods_1_CA_2,Foods_2_CA_2,Foods_3_CA_2,Hobbies_CA_3,Household_1_CA_3,Household_2_CA_3,Foods_1_CA_3,Foods_2_CA_3,Foods_3_CA_3
2011-01-29,388.88220061739014,154.30721288900085,114.45248057946591,162.2254220905456,236.11095979301143,1535.7756630791637,331.00319894353566,207.51654767019343,179.226180790093,49.375685790733385,177.8166520356306,1080.8949696610011,347.41582117238204,256.6313027179319,178.13603606443945,217.43045433939653,288.4276490065464,1791.069729476031
2011-01-30,349.283804626691,174.05089011759443,108.67729309153688,172.8970095113996,239.0123613108653,1638.0235909676048,287.33749581130627,200.4079111489478,170.63933339375998,57.33120546169835,167.6713326393533,1064.789230413841,357.8547214927065,278.47919622299827,189.29751734158464,241.81515714334822,275.14654235688795,1958.716953778015
2011-01-31,290.32044946855365,93.38966768867513,69.63653807559938,137.50637296672383,121.79923536326933,1015.5052138973142,220.54834804737195,95.84936585900402,99.21870538045312,31.81180197346958,101.45744825832213,637.4289190152314,284.0845267537494,205.60467016630653,142.92503558013257,205.8456592807579,190.2033039161971,1485.2138519248242
2011-02-01,270.8643716707869,66.98319616056648,63.02683226968376,118.75255996638818,98.31450180011957,844.4376897348391,211.91654204681143,87.92223806072928,92.97500905840619,28.27961585413253,98.42358601158864,602.6889592035294,267.7479793876288,169.38951556560858,132.01273217829885,189.90454879197694,158.75775509558224,1307.5023747849527
2011-02-02,270.7147607524485,57.76081072572571,62.12170297788353,112.36154406965068,100.31875537982694,823.1304619520306,215.62532388092228,82.56726416867006,94.05439318137759,25.74870550342043,100.57019607889686,602.5873770746181,269.9313453409819,155.2036830903537,128.32813608352185,181.66868966276814,153.18248066178074,1226.5596445328792
2011-02-03,275.6693603245901,59.26636419563357,67.23799281356375,111.78187953503712,105.58416437202594,843.8384252862744,216.9677487635312,85.6406627938687,94.79762802763801,25.732688684071956,105.62130541330862,634.064318538132,267.36961814675783,147.77374428058346,130.1800747210135,176.05661709007333,158.871544253279,1220.3224031844265
2011-02-04,316.22996630176914,89.47324637803425,83.4660489406765,128.9012123445943,159.64352776864288,1116.9879047342936,254.7814487506271,122.6568281097114,119.39194336034195,29.788743242564752,130.37430160949057,788.8417467577503,293.26711954958506,174.56177593943232,143.58280480361125,178.94116577984371,209.70271777925186,1377.6481524478359
2011-02-05,388.3573132061731,155.20993998396943,114.59058282293611,162.2623376276842,239.19732817120942,1538.3150743880497,330.4327550497001,208.2093784367962,179.34924438052144,49.3535592606058,178.94299468541547,1084.2128842212624,347.381721501244,258.2432811494132,178.37463318490848,217.37970384198314,294.0336429117674,1802.4297828081656
2011-02-06,348.7589172154792,174.95361721260247,108.81539533501294,172.9339250485608,242.09872968906615,1640.5630022765963,286.76705191747124,201.1007419155746,170.76239698420312,57.30907893158671,168.79767528914036,1068.1071449741394,357.8206218215867,280.0911746545497,189.53611446207523,241.76440664598408,280.752536262129,1970.0770071104903
2011-02-07,289.795562057319,94.2923947836369,69.77464031905251,137.54328850386767,124.8856037414485,1018.0446252061488,219.97790415351201,96.54219662556702,99.34176897085926,31.78967544333515,102.58379090807861,640.7468335753285,284.0504270826098,207.21664859780122,143.16363270059225,205.79490878335193,195.8092978214068,1496.5739052569484
